"Category","Name","Time"
"Backstroke","SonneleOeztuerk",133.97
"Backstroke","AnastasyaGorbenko",131.46
"Backstroke","CamilaRodriguesRebelo",131.05
"Backstroke","DoraMolnar",129.88
"Backstroke","KatieShanahan",129.82
"Backstroke","CarmenWeilerSastre",131.78
"Backstroke","LenaGrabowski",130.78
"Backstroke","EmmaTerebo",131.16
"Backstroke","FedericaToma",135.74
"Backstroke","GabrielaGeorgieva",132.54
"Backstroke","PaulineMahieu",131.38
"Backstroke","MargheritaPanziera",128.18
"Backstroke","EszterSzaboFeltothy",129.8
"Backstroke","AfricaZamoranoSanz",131.07
"Backstroke","AvivBarzelay",131.84
"Backstroke","LauraBernat",130.15
"Breaststroke","AnaBlazevic",147.29
"Breaststroke","ClaraRybak-Andersen",148.1
"Breaststroke","KristynaHorska",145.55
"Breaststroke","FrancescaFangio",145.55
"Breaststroke","TheaBlomsterberg",145.44
"Breaststroke","TesSchouten",146.68
"Breaststroke","JessicaVallMontero",146.64
"Breaststroke","LauraLahtinen",147.6
"Breaststroke","NikoletaTrnikova",148.4
"Breaststroke","BenteFischer",147.28
"Breaststroke","KotrynaTeterevkova",145.01
"Breaststroke","LisaMamie",144.04
"Breaststroke","MarinaCarraro",143.73
"Breaststroke","MonaMcSharry",145.24
"Breaststroke","KaraHanlon",146.78
"Breaststroke","KlaraThormalm",148.22
"Butterfly","MireiaBelmonteGarcia",134.01
"Butterfly","KatinkaHosszu",134.54
"Butterfly","ZsuzsannaJakabos",130.77
"Butterfly","KeannaMacinnes",128.9
"Butterfly","LauraKathleenStephens",129.25
"Butterfly","AnaCatarinaMonteiro",130.85
"Butterfly","AnastasiaTichy",134.59
"Butterfly","AnninaFatmaGrabher",136.92
"Butterfly","AminaKajtaz",134.4
"Butterfly","LauraLahtinen",131.41
"Butterfly","LanaPudar",130.11
"Butterfly","HelenaRosendahlBach",128.48
"Butterfly","IlariaCusinato",129.3
"Butterfly","AntonellaCrispino",130.82
"Butterfly","JuliaPujadasRusinol",132.49
"Butterfly","FannyBorer",134.9
"Freestyle","KarynaSnitko",122.42
"Freestyle","KatjaFain",118.25
"Freestyle","MarritSteenbergen",117.4
"Freestyle","JanjaSegel",117.94
"Freestyle","ImaniDeJong",119.56
"Freestyle","FreyaAnderson",117.76
"Freestyle","JuliaMrozinski",120.37
"Freestyle","SnaefriduJorunnardottir",121.7
"Freestyle","AliceMizzau",119.59
"Freestyle","CharlotteBonnet",117.73
"Freestyle","NikolettaPadar",117.8
"Freestyle","IsabelMarieGose",117.7
"Freestyle","AleksandraPolanska",118.87
"Freestyle","ValentineDumont",119.5
"Freestyle","AntoniettaCesarano",119.84
"Freestyle","AinhoCampabadalAmezcua",121.34
"Medley","FreyaColbert",133.65
"Medley","DalmaSebestyen",133.26
"Medley","KatieShanahan",131.84
"Medley","SaraFranceschi",132.76
"Medley","KristynaHorska",132.99
"Medley","MarritSteenbergen",132.31
"Medley","LisaNystrand",134.64
"Medley","AlbaVazquezRuiz",135.27
"Medley","ZinkeDelcommune",137.02
"Medley","ZoeVogelmann",135.34
"Medley","MariaUgolkova",132.92
"Medley","AnastasyaGorbenko",132.91
"Medley","KatinkaHosszu",132.52
"Medley","LenaKreundl",135.37
"Medley","MireiaBelmonteGarcia",135.47
"Medley","FrancescaFresia",136.37
